# Word's own rendering of picture-watermark.docx, as the place every mark of it landed.
# Written by `cargo xtask compare`. Not by hand, and not read by anything
# but the comparison. In points, one mark to a line, of two kinds:
#   word  page  x  baseline  text
#   mark  page  x0  y0  x1  y1
# document a5080b9e  export 67d00bda  reading 1589c59f
# Stale? `cargo xtask compare --refresh` renews it, and needs Word for that
# one document. Everything else goes on working without it.
word	1	72.024	83.300	Body
word	1	100.380	83.300	text
word	1	121.932	83.300	under
word	1	154.692	83.300	a
word	1	163.596	83.300	picture
word	1	202.788	83.300	watermark.
word	1	264.132	83.300	Body
word	1	292.452	83.300	text
word	1	314.124	83.300	under
word	1	346.884	83.300	a
word	1	355.644	83.300	picture
word	1	394.752	83.300	watermark.
word	1	456.204	83.300	Body
word	1	484.524	83.300	text
word	1	506.076	83.300	under
word	1	72.024	100.220	a
word	1	80.784	100.220	picture
word	1	119.784	100.220	watermark.
word	1	181.236	100.220	Body
word	1	209.664	100.220	text
word	1	231.216	100.220	under
word	1	264.084	100.220	a
word	1	272.844	100.220	picture
word	1	311.952	100.220	watermark.
word	1	373.296	100.220	Body
word	1	401.616	100.220	text
word	1	423.324	100.220	under
word	1	456.048	100.220	a
word	1	464.808	100.220	picture
word	1	72.024	117.260	watermark.
word	1	133.368	117.260	Body
word	1	161.688	117.260	text
word	1	183.288	117.260	under
word	1	216.120	117.260	a
word	1	224.880	117.260	picture
word	1	263.988	117.260	watermark.
word	1	325.440	117.260	Body
word	1	353.760	117.260	text
word	1	375.312	117.260	under
word	1	408.072	117.260	a
word	1	416.976	117.260	picture
word	1	456.048	117.260	watermark.
word	1	72.024	134.180	Body
word	1	100.380	134.180	text
word	1	121.932	134.180	under
word	1	154.692	134.180	a
word	1	163.596	134.180	picture
word	1	202.788	134.180	watermark.
word	1	264.132	134.180	Body
word	1	292.452	134.180	text
word	1	314.124	134.180	under
word	1	346.884	134.180	a
word	1	355.644	134.180	picture
word	1	394.752	134.180	watermark.
word	1	456.204	134.180	Body
word	1	484.524	134.180	text
word	1	506.076	134.180	under
word	1	72.024	151.220	a
word	1	80.784	151.220	picture
word	1	119.784	151.220	watermark.
word	1	181.236	151.220	Body
word	1	209.664	151.220	text
word	1	231.216	151.220	under
word	1	264.084	151.220	a
word	1	272.844	151.220	picture
word	1	311.952	151.220	watermark.
word	1	373.296	151.220	Body
word	1	401.616	151.220	text
word	1	423.324	151.220	under
word	1	456.048	151.220	a
word	1	464.808	151.220	picture
word	1	72.024	168.140	watermark.
word	1	133.368	168.140	Body
word	1	161.688	168.140	text
word	1	183.288	168.140	under
word	1	216.120	168.140	a
word	1	224.880	168.140	picture
word	1	263.988	168.140	watermark.
word	1	325.440	168.140	Body
word	1	353.760	168.140	text
word	1	375.312	168.140	under
word	1	408.072	168.140	a
word	1	416.976	168.140	picture
word	1	456.048	168.140	watermark.
word	1	72.024	185.060	Body
word	1	100.380	185.060	text
word	1	121.932	185.060	under
word	1	154.692	185.060	a
